country_iso,vaccstats_id
AGO,8873
AGO,8878
AGO,8883
AGO,8891
AGO,8893
AGO,8898
AGO,8903
AGO,8907
AGO,8911
AGO,8918
AGO,8925
AGO,8932
AGO,8947
AGO,8953
AGO,8960
AGO,8964
AGO,8969
AGO,8976
AGO,8986
AGO,8994
AGO,9001
AGO,9013
AGO,9019
AGO,9023
AGO,9025
AGO,9031
AGO,9038
AGO,9043
AGO,9047
AGO,9054
AGO,9057
AGO,9060
AGO,9072
AGO,9075
AGO,9081
AGO,9089
AGO,9096
AGO,9103
AGO,9105
AGO,9109
AGO,9111
AGO,9120
AGO,9125
AGO,9130
AGO,9137
AGO,9143
AGO,9150
AGO,9158
AGO,9164
AGO,9173
AGO,9181
AGO,9188
AGO,9213
AGO,9239
AGO,9253
AGO,9274
AGO,9281
AGO,9295
AGO,9302
AGO,9316
AGO,9323
AGO,9337
AGO,9344
AGO,9372
AGO,9379
AGO,9386
AGO,9393
AGO,9400
AGO,9414
AGO,9421
AGO,9428
AGO,9435
AGO,9449
AGO,9463
AGO,9512
AGO,9519
AGO,9526
AGO,9533
AGO,9540
AGO,9547
AGO,9554
AGO,9561
AGO,9568
AGO,9575
AGO,9582
AGO,9589
AGO,9603
AGO,9631
AGO,9666
AGO,9694
AGO,9722
AGO,9757
AGO,9785
AGO,9827
AIA,10441
AIA,10450
AIA,10451
AIA,10463
AIA,10474
AIA,10478
AIA,10484
AIA,10508
AIA,10518
AIA,10543
AIA,10554
AIA,10561
AIA,10568
AIA,10575
AIA,10582
AIA,10589
AIA,10596
AIA,10603
AIA,10610
AIA,10617
AIA,10624
AIA,10638
AIA,10652
AIA,10659
AIA,10666
AIA,10673
AIA,10680
AIA,10694
AIA,10715
AIA,10722
AIA,10729
AIA,10739
AIA,10741
AIA,10748
AIA,10785
AIA,10792
AIA,10799
AIA,10804
AIA,10811
AIA,10813
AIA,10818
AIA,10820
AIA,10827
AIA,10832
AIA,10839
AIA,10841
AIA,10848
AIA,10853
AIA,10869
AIA,10897
AIA,10911
AIA,10918
AIA,10932
AIA,10937
AIA,10946
AIA,10960
AIA,11000
AIA,11002
AIA,11037
AIA,11044
AIA,11051
AIA,11065
AIA,11107
AIA,11114
AIA,11139
AIA,11142
AIA,11177
AIA,11205
AIA,11212
ATG,12127
ATG,12154
ATG,12158
ATG,12164
ATG,12170
ATG,12173
ATG,12184
ATG,12186
ATG,12187
ATG,12192
ATG,12207
ATG,12211
ATG,12217
ATG,12221
ATG,12225
ATG,12226
ATG,12227
ATG,12229
ATG,12231
ATG,12234
ATG,12237
ATG,12238
ATG,12240
ATG,12243
ATG,12246
ATG,12248
ATG,12251
ATG,12260
ATG,12262
ATG,12265
ATG,12267
ATG,12269
ATG,12270
ATG,12274
ATG,12276
ATG,12279
ATG,12281
ATG,12282
ATG,12283
ATG,12286
ATG,12289
ATG,12290
ATG,12294
ATG,12296
ATG,12299
ATG,12302
ATG,12306
ATG,12308
ATG,12311
ATG,12314
ATG,12316
ATG,12320
ATG,12322
ATG,12323
ATG,12330
ATG,12333
ATG,12336
ATG,12340
ATG,12347
ATG,12351
ATG,12355
ATG,12357
ATG,12359
ATG,12362
ATG,12366
ATG,12369
ATG,12372
ATG,12376
ATG,12379
ATG,12383
ATG,12389
ATG,12392
ATG,12400
ATG,12405
ATG,12407
ATG,12410
ATG,12419
ATG,12424
ATG,12433
ATG,12439
ATG,12443
ATG,12451
ATG,12458
ATG,12471
ATG,12481
ATG,12493
ATG,12504
ATG,12505
ATG,12518
ATG,12535
ATG,12595
ATG,12613
ATG,12663
ATG,12704
ARG,13756
ARG,13757
ARG,13758
ARG,13759
ARG,13760
ARG,13761
ARG,13762
ARG,13763
ARG,13764
ARG,13765
ARG,13766
ARG,13767
ARG,13768
ARG,13769
ARG,13770
ARG,13771
ARG,13772
ARG,13773
ARG,13774
ARG,13775
ARG,13776
ARG,13777
ARG,13778
ARG,13779
ARG,13780
ARG,13781
ARG,13782
ARG,13783
ARG,13784
ARG,13785
ARG,13786
ARG,13787
ARG,13788
ARG,13789
ARG,13790
ARG,13791
ARG,13792
ARG,13793
ARG,13794
ARG,13795
ARG,13796
ARG,13797
ARG,13798
ARG,13799
ARG,13800
ARG,13801
ARG,13802
ARG,13803
ARG,13804
ARG,13805
ARG,13806
ARG,13807
ARG,13808
ARG,13809
ARG,13810
ARG,13811
ARG,13812
ARG,13813
ARG,13814
ARG,13815
ARG,13816
ARG,13817
ARG,13818
ARG,13819
ARG,13820
ARG,13821
ARG,13822
ARG,13823
ARG,13824
ARG,13825
ARG,13826
ARG,13827
ARG,13828
ARG,13829
ARG,13830
ARG,13831
ARG,13832
ARG,13833
ARG,13834
ARG,13835
ARG,13836
ARG,13837
ARG,13838
ARG,13839
ARG,13840
ARG,13841
ARG,13842
ARG,13843
ARG,13844
ARG,13845
ARG,13846
ARG,13847
ARG,13848
ARG,13849
ARG,13850
ARG,13851
ARG,13852
ARG,13853
ARG,13854
ARG,13855
ARG,13856
ARG,13857
ARG,13858
ARG,13859
ARG,13860
ARG,13861
ARG,13862
ARG,13863
ARG,13864
ARG,13865
ARG,13866
ARG,13867
ARG,13868
ARG,13869
ARG,13870
ARG,13871
ARG,13872
ARG,13873
ARG,13874
ARG,13875
ARG,13876
ARG,13877
ARG,13878
ARG,13879
ARG,13880
ARG,13881
ARG,13882
ARG,13883
ARG,13884
ARG,13885
ARG,13886
ARG,13887
ARG,13888
ARG,13889
ARG,13890
ARG,13891
ARG,13892
ARG,13893
ARG,13894
ARG,13895
ARG,13896
ARG,13897
ARG,13898
ARG,13899
ARG,13900
ARG,13901
ARG,13902
ARG,13903
ARG,13904
ARG,13905
ARG,13906
ARG,13907
ARG,13908
ARG,13909
ARG,13910
ARG,13911
ARG,13912
ARG,13913
ARG,13914
ARG,13915
ARG,13916
ARG,13917
ARG,13918
ARG,13919
ARG,13920
ARG,13921
ARG,13922
ARG,13923
ARG,13924
ARG,13925
ARG,13926
ARG,13927
ARG,13928
ARG,13929
ARG,13930
ARG,13931
ARG,13932
ARG,13933
ARG,13934
ARG,13935
ARG,13936
ARG,13937
ARG,13938
ARG,13939
ARG,13940
ARG,13941
ARG,13942
ARG,13943
ARG,13944
ARG,13945
ARG,13946
ARG,13947
ARG,13948
ARG,13949
ARG,13950
ARG,13951
ARG,13952
ARG,13953
ARG,13954
ARG,13955
ARG,13956
ARG,13957
ARG,13958
ARG,13959
ARG,13960
ARG,13961
ARG,13962
ARG,13963
ARG,13964
ARG,13965
ARG,13966
ARG,13967
ARG,13968
ARG,13969
ARG,13970
ARG,13971
ARG,13972
ARG,13973
ARG,13974
ARG,13975
ARG,13976
ARG,13977
ARG,13978
ARG,13979
ARG,13980
ARG,13981
ARG,13982
ARG,13983
ARG,13984
ARG,13985
ARG,13986
ARG,13987
ARG,13988
ARG,13989
ARG,13990
ARG,13991
ARG,13992
ARG,13993
ARG,13994
ARG,13995
ARG,13996
ARG,13997
ARG,13998
ARG,13999
ARG,14000
ARG,14001
ARG,14002
ARG,14003
ARG,14004
ARG,14005
ARG,14006
ARG,14007
ARG,14008
ARG,14009
ARG,14010
ARG,14011
ARG,14012
ARG,14013
ARG,14014
ARG,14015
ARG,14016
ARG,14017
ARG,14018
ARG,14019
ARG,14020
ARG,14021
ARG,14022
ARG,14023
ARG,14024
ARG,14025
ARG,14026
ARG,14027
ARG,14028
ARG,14029
ARG,14030
ARG,14031
ARG,14032
ARG,14033
ARG,14034
ARG,14035
ARG,14036
ARG,14037
ARG,14038
ARG,14039
ARG,14040
ARG,14041
ARG,14042
ARG,14043
ARG,14044
ARG,14045
ARG,14046
ARG,14047
ARG,14048
ARG,14049
ARG,14050
ARG,14051
ARG,14052
ARG,14053
ARG,14054
ARG,14055
ARG,14056
ARG,14057
ARG,14058
ARG,14059
ARG,14060
ARG,14061
ARG,14062
ARG,14063
ARG,14064
ARG,14065
ARG,14066
ARG,14067
ARG,14068
ARG,14069
ARG,14070
ARG,14071
ARG,14072
ARG,14073
ARG,14074
ARG,14075
ARG,14076
ARG,14077
ARG,14078
ARG,14079
ARG,14080
ARG,14081
ARG,14082
ARG,14083
ARG,14084
ARG,14085
ARG,14086
ARG,14087
ARG,14088
ARG,14089
ARG,14090
ARG,14091
ARG,14092
ARG,14093
ARG,14094
ARG,14095
ARG,14096
ARG,14097
ARG,14098
ARG,14099
ARG,14100
ARG,14101
ARG,14102
ARG,14103
ARG,14104
ARG,14105
ARG,14106
ARG,14107
ARG,14108
ARG,14109
ARG,14110
ARG,14111
ARG,14112
ARG,14113
ARG,14114
ARG,14115
ARG,14116
ARG,14117
ARG,14118
ARG,14119
ARG,14120
ARG,14121
ARG,14122
ARG,14123
ARG,14124
ARG,14125
ARG,14126
ARG,14127
ARG,14128
ARG,14129
ARG,14130
ARG,14131
ARG,14132
ARG,14133
ARG,14134
ARG,14135
ARG,14136
ARG,14137
ARG,14138
ARG,14139
ARG,14140
ARG,14141
ARG,14142
ARG,14143
ARG,14144
ARG,14145
ARG,14146
ARG,14147
ARG,14148
ARG,14149
ARG,14150
ARG,14151
ARG,14152
ARG,14153
ARG,14154
ARG,14155
ARG,14156
ARG,14157
ARG,14158
ARG,14159
ARG,14160
ARG,14161
ARG,14162
ARG,14163
ARG,14164
ARG,14165
ARG,14166
ARG,14167
ARG,14168
ARG,14169
ARG,14170
ARG,14171
ARG,14172
ARG,14173
ARG,14174
ARG,14175
ARG,14176
ARG,14177
ARG,14178
ARG,14179
ARG,14180
ARG,14181
ARG,14182
ARG,14183
ARG,14184
ARG,14185
ARG,14186
ARG,14187
ARG,14188
ARG,14189
ARG,14190
ARG,14191
ARG,14192
ARG,14193
ARG,14194
ARG,14195
ARG,14196
ARG,14197
ARG,14198
ARG,14199
ARG,14200
ARG,14201
ARG,14202
ARG,14203
ARG,14204
ARG,14205
ARG,14206
ARG,14207
ARG,14208
ARG,14209
ARG,14210
ARG,14211
ARG,14212
ARG,14213
ARG,14214
ARG,14215
ARG,14216
ARG,14217
ARG,14218
ARG,14219
ARG,14220
ARG,14221
ARG,14222
ARG,14223
ARG,14224
ARG,14225
ARG,14226
ARG,14227
ARG,14228
ARG,14229
ARG,14230
ARG,14231
ARG,14232
ARG,14233
ARG,14234
ARG,14235
ARG,14236
ARG,14237
ARG,14238
ARG,14239
ARG,14240
ARG,14241
ARG,14242
ARG,14243
ARG,14244
ARG,14245
ARG,14246
ARG,14247
ARG,14248
ARG,14249
ARG,14250
ARG,14251
ARG,14252
ARG,14253
ARG,14254
ARG,14255
ARG,14256
ARG,14257
ARG,14258
ARG,14259
ARG,14260
ARG,14261
ARG,14262
ARG,14263
ARG,14264
ARG,14265
ARG,14266
ARG,14267
ARG,14268
ARG,14269
ARG,14270
ARG,14271
ARG,14272
ARG,14273
ARG,14274
ARG,14275
ARG,14276
